song,plays,datetime,artist,album
Sports car (TELYKAST Remix),1,"14 Mar 2025, 13:54",Tate McRae,Sports car (remixes)
Die with a Smile,1,"14 Mar 2025, 13:50",Lady Gaga,MAYHEM
Blade of Grass,1,"14 Mar 2025, 13:45",Lady Gaga,MAYHEM
The Beast,1,"14 Mar 2025, 13:41",Lady Gaga,MAYHEM
Shadow of a Man,1,"14 Mar 2025, 13:38",Lady Gaga,MAYHEM
Don't Call Tonight,1,"14 Mar 2025, 13:34",Lady Gaga,MAYHEM
How Bad Do U Want Me,1,"14 Mar 2025, 13:23",Lady Gaga,MAYHEM
LoveDrug,1,"14 Mar 2025, 13:20",Lady Gaga,MAYHEM
Zombieboy,1,"14 Mar 2025, 13:18",Lady Gaga,MAYHEM
Killah,1,"14 Mar 2025, 13:15",Lady Gaga,MAYHEM
Vanish Into You,1,"14 Mar 2025, 13:10",Lady Gaga,MAYHEM
Perfect Celebrity,1,"14 Mar 2025, 13:05",Lady Gaga,MAYHEM
Garden of Eden,1,"14 Mar 2025, 13:00",Lady Gaga,MAYHEM
Abracadabra,1,"14 Mar 2025, 12:58",Lady Gaga,Abracadabra
Disease,1,"14 Mar 2025, 12:54",Lady Gaga,MAYHEM
Happy Mistake,1,"14 Mar 2025, 12:50",Lady Gaga,Harlequin
Babylon,1,"14 Mar 2025, 12:47",Lady Gaga,Chromatica
1000 Doves,1,"14 Mar 2025, 12:42",Lady Gaga,Chromatica
Sine from Above (with Elton John),1,"14 Mar 2025, 12:39",Lady Gaga,Chromatica
Chromatica III,1,"14 Mar 2025, 12:38",Lady Gaga,Chromatica
Replay,1,"14 Mar 2025, 12:35",Lady Gaga,Chromatica
Enigma,1,"14 Mar 2025, 12:32",Lady Gaga,Chromatica
Sour Candy (with BLACKPINK),1,"14 Mar 2025, 12:30",Lady Gaga,Chromatica
Plastic Doll,1,"14 Mar 2025, 12:26",Lady Gaga,Chromatica
911,1,"14 Mar 2025, 12:23",Lady Gaga,Chromatica
Chromatica II,1,"14 Mar 2025, 12:22",Lady Gaga,Chromatica
Fun Tonight,1,"14 Mar 2025, 12:19",Lady Gaga,Chromatica
Free Woman,1,"14 Mar 2025, 12:16",Lady Gaga,Chromatica
Rain on Me (with Ariana Grande),1,"14 Mar 2025, 12:13",Lady Gaga,Chromatica
Stupid Love,1,"14 Mar 2025, 12:12",Lady Gaga,Stupid Love
Alice,1,"14 Mar 2025, 12:07",Lady Gaga,Chromatica
Chromatica I,1,"14 Mar 2025, 12:06",Lady Gaga,Chromatica
plastic palm trees,1,"14 Mar 2025, 12:03",Tate McRae,THINK LATER
want that too,1,"14 Mar 2025, 12:00",Tate McRae,THINK LATER
guilty conscience,1,"14 Mar 2025, 11:58",Tate McRae,THINK LATER
think later,1,"14 Mar 2025, 11:56",Tate McRae,THINK LATER
messier,1,"14 Mar 2025, 11:51",Tate McRae,THINK LATER
calgary,1,"14 Mar 2025, 11:49",Tate McRae,THINK LATER
we're not alike,1,"14 Mar 2025, 11:46",Tate McRae,THINK LATER
exes,1,"14 Mar 2025, 11:35",Tate McRae,THINK LATER
stay done,1,"14 Mar 2025, 11:32",Tate McRae,THINK LATER
grave,1,"14 Mar 2025, 11:28",Tate McRae,THINK LATER
hurt my feelings,1,"14 Mar 2025, 11:26",Tate McRae,THINK LATER
run for the hills,1,"14 Mar 2025, 11:24",Tate McRae,THINK LATER
greedy,1,"14 Mar 2025, 11:22",Tate McRae,THINK LATER
cut my hair,1,"14 Mar 2025, 11:19",Tate McRae,THINK LATER
Die with a Smile,1,"14 Mar 2025, 11:16",Lady Gaga,MAYHEM
run for the hills,1,"14 Mar 2025, 05:49",Tate McRae,THINK LATER
greedy,1,"14 Mar 2025, 05:47",Tate McRae,THINK LATER
cut my hair,1,"14 Mar 2025, 05:44",Tate McRae,THINK LATER
Die with a Smile,1,"14 Mar 2025, 05:40",Lady Gaga,MAYHEM
cut my hair,1,"14 Mar 2025, 04:33",Tate McRae,THINK LATER
The Giver,1,"14 Mar 2025, 04:31",Chappell Roan,The Giver
Beautiful People,1,"14 Mar 2025, 04:25",David Guetta,Beautiful People
Blade of Grass,1,"14 Mar 2025, 04:15",Lady Gaga,MAYHEM
The Beast,1,"14 Mar 2025, 04:10",Lady Gaga,MAYHEM
Shadow of a Man,1,"14 Mar 2025, 04:07",Lady Gaga,MAYHEM
How Bad Do U Want Me,1,"14 Mar 2025, 04:03",Lady Gaga,MAYHEM
LoveDrug,1,"14 Mar 2025, 03:57",Lady Gaga,MAYHEM
Don't Call Tonight,1,"14 Mar 2025, 03:55",Lady Gaga,MAYHEM
How Bad Do U Want Me,1,"14 Mar 2025, 03:55",Lady Gaga,MAYHEM
How Bad Do U Want Me,1,"14 Mar 2025, 03:48",Lady Gaga,MAYHEM
LoveDrug,1,"14 Mar 2025, 03:42",Lady Gaga,MAYHEM
Zombieboy,1,"14 Mar 2025, 03:37",Lady Gaga,MAYHEM
Killah,1,"14 Mar 2025, 03:36",Lady Gaga,MAYHEM
Vanish Into You,1,"14 Mar 2025, 03:28",Lady Gaga,MAYHEM
Vanish Into You,1,"14 Mar 2025, 03:23",Lady Gaga,MAYHEM
Vanish Into You,1,"14 Mar 2025, 03:17",Lady Gaga,MAYHEM
Perfect Celebrity,1,"14 Mar 2025, 03:13",Lady Gaga,MAYHEM
Garden of Eden,1,"14 Mar 2025, 03:09",Lady Gaga,MAYHEM
Abracadabra,1,"14 Mar 2025, 03:06",Lady Gaga,MAYHEM
Disease,1,"14 Mar 2025, 03:02",Lady Gaga,MAYHEM
Die with a Smile,1,"14 Mar 2025, 02:58",Lady Gaga,Die with a Smile
Die with a Smile,1,"14 Mar 2025, 02:52",Lady Gaga,Die with a Smile
Die with a Smile,1,"14 Mar 2025, 02:46",Lady Gaga,Die with a Smile
Die with a Smile,1,"14 Mar 2025, 02:43",Lady Gaga,Die with a Smile
Die with a Smile,1,"14 Mar 2025, 02:37",Lady Gaga,Die with a Smile
Die with a Smile,1,"14 Mar 2025, 02:34",Lady Gaga,Die with a Smile
Die with a Smile,1,"14 Mar 2025, 02:32",Lady Gaga,Die with a Smile
Die with a Smile,1,"14 Mar 2025, 02:30",Lady Gaga,Die with a Smile
Die with a Smile,1,"14 Mar 2025, 02:17",Lady Gaga,Die with a Smile
Die with a Smile,1,"14 Mar 2025, 02:13",Lady Gaga,Die with a Smile
Die with a Smile,1,"14 Mar 2025, 02:09",Lady Gaga,Die with a Smile
Die with a Smile,1,"14 Mar 2025, 02:05",Lady Gaga,Die with a Smile
Die with a Smile,1,"14 Mar 2025, 02:00",Lady Gaga,Die with a Smile
Abracadabra,1,"14 Mar 2025, 01:57",Lady Gaga,MAYHEM
Disease,1,"14 Mar 2025, 01:53",Lady Gaga,MAYHEM
Disease,1,"14 Mar 2025, 01:49",Lady Gaga,MAYHEM
Disease,1,"14 Mar 2025, 01:45",Lady Gaga,MAYHEM
Disease,1,"14 Mar 2025, 01:38",Lady Gaga,MAYHEM
Disease,1,"14 Mar 2025, 01:34",Lady Gaga,MAYHEM
Disease,1,"14 Mar 2025, 01:14",Lady Gaga,MAYHEM
¡Ah Pero Cómo Vendo Cassettes!,1,"14 Mar 2025, 01:02",Panda,Amantes Sunt Amentes
Atractivo Encontramos En Lo Más Repugnante,1,"14 Mar 2025, 00:58",Panda,Amantes Sunt Amentes
Tus Palabras Punzocortantes,1,"14 Mar 2025, 00:55",Panda,Amantes Sunt Amentes
Los Malaventurados No Lloran,1,"14 Mar 2025, 00:51",Panda,Amantes Sunt Amentes
Pathetica,1,"14 Mar 2025, 00:47",Panda,Amantes Sunt Amentes
Procedimientos Para Llegar A Un Común Acuerdo,1,"14 Mar 2025, 00:44",Panda,Amantes Sunt Amentes
"Tripulación, Armar Toboganes",1,"14 Mar 2025, 00:40",Panda,Amantes Sunt Amentes
Narcisista Por Excelencia,1,"14 Mar 2025, 00:36",Panda,Amantes Sunt Amentes
"Estoy Más Sohloh Que Ayer, Pero Menos Que Mañana",1,"14 Mar 2025, 00:33",Panda,Amantes Sunt Amentes
"El Infame ""Estar Y No Estar""",1,"14 Mar 2025, 00:29",Panda,Amantes Sunt Amentes
So Violento So Macabro,1,"14 Mar 2025, 00:26",Panda,Amantes Sunt Amentes
La Estrategia Perdida,1,"14 Mar 2025, 00:23",Panda,Amantes Sunt Amentes
Disco Heaven,1,"14 Mar 2025, 00:19",Lady Gaga,The Fame
Summerboy,1,"14 Mar 2025, 00:15",Lady Gaga,The Fame
I Like It Rough,1,"14 Mar 2025, 00:11",Lady Gaga,The Fame
Brown Eyes,1,"14 Mar 2025, 00:07",Lady Gaga,The Fame
Paper Gangsta,1,"14 Mar 2025, 00:03",Lady Gaga,The Fame
Boys Boys Boys,1,"14 Mar 2025, 00:00",Lady Gaga,The Fame
Starstruck,1,"13 Mar 2025, 23:56",Lady Gaga,The Fame
Money Honey,1,"13 Mar 2025, 23:53",Lady Gaga,The Fame
The Fame,1,"13 Mar 2025, 23:49",Lady Gaga,The Fame
"Beautiful, Dirty, Rich",1,"13 Mar 2025, 23:47",Lady Gaga,The Fame
"Eh, Eh (Nothing Else I Can Say)",1,"13 Mar 2025, 23:44",Lady Gaga,The Fame
Poker Face,1,"13 Mar 2025, 23:40",Lady Gaga,The Fame
Paparazzi,1,"13 Mar 2025, 23:36",Lady Gaga,The Fame
LoveGame,1,"13 Mar 2025, 23:33",Lady Gaga,The Fame
Just Dance,1,"13 Mar 2025, 23:29",Lady Gaga,The Fame
Siren sounds (bonus),1,"13 Mar 2025, 23:25",Tate McRae,So Close to What
Nostalgia,1,"13 Mar 2025, 23:22",Tate McRae,So Close to What
Greenlight,1,"13 Mar 2025, 23:20",Tate McRae,So Close to What
Means I care,1,"13 Mar 2025, 23:17",Tate McRae,So Close to What
No I'm not in love,1,"13 Mar 2025, 23:14",Tate McRae,So Close to What
It's ok I'm ok,1,"13 Mar 2025, 23:11",Tate McRae,So Close to What
Like I do,1,"13 Mar 2025, 23:08",Tate McRae,So Close to What
I know love (feat. The Kid LAROI),1,"13 Mar 2025, 23:06",Tate McRae,So Close to What
Signs,1,"13 Mar 2025, 23:03",Tate McRae,So Close to What
Sports car,1,"13 Mar 2025, 23:00",Tate McRae,So Close to What
Purple lace bra,1,"13 Mar 2025, 22:57",Tate McRae,So Close to What
Dear god,1,"13 Mar 2025, 22:54",Tate McRae,So Close to What
bloodonmyhands (feat. Flo Milli),1,"13 Mar 2025, 22:51",Tate McRae,So Close to What
Revolving door,1,"13 Mar 2025, 22:48",Tate McRae,So Close to What
2 hands,1,"13 Mar 2025, 22:45",Tate McRae,So Close to What
Miss possessive,1,"13 Mar 2025, 22:43",Tate McRae,So Close to What
Die with a Smile,1,"13 Mar 2025, 22:39",Lady Gaga,MAYHEM
Blade of Grass,1,"13 Mar 2025, 22:34",Lady Gaga,MAYHEM
The Beast,1,"13 Mar 2025, 22:31",Lady Gaga,MAYHEM
Shadow of a Man,1,"13 Mar 2025, 22:27",Lady Gaga,MAYHEM
Don't Call Tonight,1,"13 Mar 2025, 21:49",Lady Gaga,MAYHEM
How Bad Do U Want Me,1,"13 Mar 2025, 21:45",Lady Gaga,MAYHEM
LoveDrug,1,"13 Mar 2025, 21:41",Lady Gaga,MAYHEM
Zombieboy,1,"13 Mar 2025, 21:38",Lady Gaga,MAYHEM
Killah,1,"13 Mar 2025, 21:34",Lady Gaga,MAYHEM
Vanish Into You,1,"13 Mar 2025, 21:30",Lady Gaga,MAYHEM
Perfect Celebrity,1,"13 Mar 2025, 21:26",Lady Gaga,MAYHEM
Garden of Eden,1,"13 Mar 2025, 21:22",Lady Gaga,MAYHEM
Abracadabra,1,"13 Mar 2025, 20:57",Lady Gaga,MAYHEM
Disease,1,"13 Mar 2025, 20:53",Lady Gaga,MAYHEM
Teenagers,1,"13 Mar 2025, 18:57",My Chemical Romance,The Black Parade
Catch Me If You Can,1,"13 Mar 2025, 18:55",Alan Walker,Walkerverse Pt. II
The Only Exception,1,"13 Mar 2025, 18:50",Paramore,brand new eyes
White Teeth Teens,1,"13 Mar 2025, 18:46",Lorde,Pure Heroine
hey now,1,"13 Mar 2025, 18:43",Kendrick Lamar,GNX
bad idea right?,1,"13 Mar 2025, 18:40",Olivia Rodrigo,GUTS
Dear god,1,"13 Mar 2025, 18:37",Tate McRae,So Close to What
Born This Way,1,"13 Mar 2025, 18:33",Lady Gaga,Born This Way (International Standard Version)
Million Dollar Bills,1,"13 Mar 2025, 18:30",Lorde,The Love Club EP
Judas,1,"13 Mar 2025, 18:26",Lady Gaga,Born This Way (International Standard Version)
Poker Face,1,"13 Mar 2025, 18:22",Lady Gaga,The Fame
I'll Never Love Again (Extended Version),1,"13 Mar 2025, 18:17",Lady Gaga,A Star Is Born Soundtrack
Die with a Smile,1,"13 Mar 2025, 18:12",Lady Gaga,MAYHEM
How Bad Do U Want Me,1,"13 Mar 2025, 18:09",Lady Gaga,MAYHEM
LoveDrug,1,"13 Mar 2025, 18:05",Lady Gaga,MAYHEM
Vanish Into You,1,"13 Mar 2025, 18:01",Lady Gaga,MAYHEM
"I'M HIS, HE'S MINE (feat. Doechii)",1,"13 Mar 2025, 17:58",Katy Perry,143
Bloody Mary,1,"13 Mar 2025, 17:54",Lady Gaga,Born This Way (International Standard Version)
SING,1,"13 Mar 2025, 17:49",My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys
Welcome to the Black Parade,1,"13 Mar 2025, 17:44",My Chemical Romance,The Black Parade
Thank You for the Venom,1,"13 Mar 2025, 17:40",My Chemical Romance,Three Cheers for Sweet Revenge
Famous Last Words,1,"13 Mar 2025, 17:35",My Chemical Romance,The Black Parade
The Sharpest Lives,1,"13 Mar 2025, 17:32",My Chemical Romance,The Black Parade
Teenagers,1,"13 Mar 2025, 17:29",My Chemical Romance,The Black Parade
This Is How I Disappear,1,"13 Mar 2025, 17:25",My Chemical Romance,The Black Parade
Mama,1,"13 Mar 2025, 17:21",My Chemical Romance,The Black Parade
Beautiful People,1,"13 Mar 2025, 17:18",David Guetta,Beautiful People
Beautiful People,1,"13 Mar 2025, 17:03",David Guetta,Beautiful People
Beautiful People,1,"13 Mar 2025, 17:01",David Guetta,Beautiful People
Beautiful People,1,"13 Mar 2025, 16:54",David Guetta,Beautiful People
Sleep,1,"13 Mar 2025, 16:53",My Chemical Romance,The Black Parade
Helena,1,"13 Mar 2025, 16:50",My Chemical Romance,Three Cheers for Sweet Revenge
I Don't Love You,1,"13 Mar 2025, 16:46",My Chemical Romance,The Black Parade
The Ghost of You,1,"13 Mar 2025, 16:43",My Chemical Romance,Three Cheers for Sweet Revenge
How Did It End? - Live From Stockholm / 2024,1,"13 Mar 2025, 16:38",Taylor Swift,"The Tortured Poets Department + ""How Did It End?"" (Live From Stockholm)"
cut my hair,1,"13 Mar 2025, 16:36",Tate McRae,THINK LATER
No Matter What,1,"13 Mar 2025, 16:32",Calum Scott,Only Human (Special Edition)
Never Really Over,1,"13 Mar 2025, 16:28",Katy Perry,Smile
it could’ve been u,1,"13 Mar 2025, 16:26",Addison Rae,AR
Beautiful People,1,"13 Mar 2025, 15:11",David Guetta,Beautiful People
Beautiful People,1,"13 Mar 2025, 15:02",David Guetta,Beautiful People
Beautiful People,1,"13 Mar 2025, 14:56",David Guetta,Beautiful People
Beautiful People,1,"13 Mar 2025, 14:50",David Guetta,Beautiful People
Beautiful People,1,"13 Mar 2025, 14:43",David Guetta,Beautiful People
Beautiful People,1,"13 Mar 2025, 14:37",David Guetta,Beautiful People
Beautiful People,1,"13 Mar 2025, 14:31",David Guetta,Beautiful People
Beautiful People,1,"13 Mar 2025, 14:28",David Guetta,Beautiful People
Beautiful People,1,"13 Mar 2025, 14:25",David Guetta,Beautiful People
Turn It Off,1,"13 Mar 2025, 14:20",Paramore,brand new eyes
rubberband,1,"13 Mar 2025, 14:18",Tate McRae,TOO YOUNG TO BE SAD
Red (Taylor's Version),1,"13 Mar 2025, 14:12",Taylor Swift,Red (Taylor's Version)
you're so cool,1,"13 Mar 2025, 14:09",Tate McRae,i used to think i could fly
Alter Ego (with JT),1,"13 Mar 2025, 14:06",Doechii,Alter Ego (with JT)
A Donde Va El Viento,1,"13 Mar 2025, 14:01",Julieta Venegas,Nadie Nos Va A Extrañar (Banda Sonora De La Serie Original De Prime)
Bad Romance,1,"13 Mar 2025, 13:58",Lady Gaga,The Fame Monster (Deluxe Edition)
Bad Romance,1,"13 Mar 2025, 13:35",Lady Gaga,The Fame Monster (Deluxe Edition)
If Our Love Is Wrong,1,"13 Mar 2025, 13:31",Calum Scott,Only Human (Deluxe)
360 featuring robyn & yung lean,1,"13 Mar 2025, 13:27",Charli xcx,Brat and it’s completely different but also still brat
If Our Love Is Wrong,1,"13 Mar 2025, 12:44",Calum Scott,Only Human (Deluxe)
love is embarrassing,1,"13 Mar 2025, 12:43",Olivia Rodrigo,GUTS (spilled)
If Our Love Is Wrong,1,"13 Mar 2025, 12:38",Calum Scott,Only Human (Deluxe)
hey now,1,"13 Mar 2025, 12:38",Kendrick Lamar,GNX
So Happy I Could Die,1,"13 Mar 2025, 12:35",Lady Gaga,The Fame Monster
Love Is Just A Word,1,"13 Mar 2025, 12:31",Jasmine Thompson,Love Is Just A Word
greedy,1,"13 Mar 2025, 12:28",Tate McRae,THINK LATER
Telephone (feat. Beyoncé),1,"13 Mar 2025, 12:25",Lady Gaga,The Fame Monster (Deluxe Edition)
NISSAN ALTIMA,1,"13 Mar 2025, 12:23",Doechii,NISSAN ALTIMA
rubberband,1,"13 Mar 2025, 12:21",Tate McRae,TOO YOUNG TO BE SAD
rubberband,1,"13 Mar 2025, 12:13",Tate McRae,TOO YOUNG TO BE SAD
Perfect Places,1,"13 Mar 2025, 12:10",Lorde,Melodrama
Messy,1,"13 Mar 2025, 12:05",Lola Young,Messy
Miss possessive,1,"13 Mar 2025, 12:02",Tate McRae,So Close to What
exes,1,"13 Mar 2025, 11:59",Tate McRae,exes
Abracadabra,1,"13 Mar 2025, 11:56",Lady Gaga,MAYHEM
Beautiful People,1,"13 Mar 2025, 11:53",David Guetta,Beautiful People
NO TEARS FOR NEW YEAR'S,1,"13 Mar 2025, 11:49",Katy Perry,1432
OK,1,"13 Mar 2025, 11:46",Katy Perry,1432
Pressure,1,"13 Mar 2025, 11:44",Paramore,All We Know Is Falling
Monica (Demo),1,"13 Mar 2025, 11:41",Imagine Dragons,Reflections (From The Vault Of Smoke + Mirrors)
Guilty as Sin?,1,"13 Mar 2025, 11:39",Taylor Swift,THE TORTURED POETS DEPARTMENT
grave,1,"13 Mar 2025, 11:33",Tate McRae,THINK LATER
No Matter What,1,"13 Mar 2025, 11:29",Calum Scott,Only Human
Die with a Smile,1,"13 Mar 2025, 11:25",Lady Gaga,MAYHEM
Million Dollar Bills,1,"13 Mar 2025, 11:22",Lorde,The Love Club EP
Tired,1,"13 Mar 2025, 11:19",Alan Walker,Ö3 Greatest Hits Vol.78
stupid,1,"13 Mar 2025, 11:16",Tate McRae,all the things i never said
The Only Exception,1,"13 Mar 2025, 11:12",Paramore,brand new eyes
bloodonmyhands (feat. Flo Milli),1,"13 Mar 2025, 11:11",Tate McRae,So Close to What
stay done,1,"13 Mar 2025, 11:11",Tate McRae,THINK LATER
Monster,1,"13 Mar 2025, 11:11",Lady Gaga,The Fame Monster
"Ride Or Die, Pt. 2",1,"13 Mar 2025, 11:11",Sevdaliza,"Ride Or Die, Pt. 2"
Glory and Gore,1,"13 Mar 2025, 11:11",Lorde,Pure Heroine
bloodonmyhands (feat. Flo Milli),1,"13 Mar 2025, 11:10",Tate McRae,So Close to What
messier,1,"13 Mar 2025, 10:51",Tate McRae,THINK LATER
Playing God,1,"13 Mar 2025, 10:47",Paramore,brand new eyes
my tears ricochet,1,"13 Mar 2025, 10:43",Taylor Swift,folklore
Shadow of a Man,1,"13 Mar 2025, 10:40",Lady Gaga,MAYHEM
Abracadabra,1,"13 Mar 2025, 10:36",Lady Gaga,Abracadabra
It's ok I'm ok,1,"13 Mar 2025, 10:34",Tate McRae,it's ok i'm ok
Revolving door,1,"13 Mar 2025, 10:31",Tate McRae,So Close to What
Dear god,1,"13 Mar 2025, 10:30",Tate McRae,So Close to What
Dear god,1,"13 Mar 2025, 07:49",Tate McRae,So Close to What
Busy Woman,1,"13 Mar 2025, 07:46",Sabrina Carpenter,Short n' Sweet (Deluxe)
drivers license,1,"13 Mar 2025, 07:42",Olivia Rodrigo,SOUR
Greenlight,1,"13 Mar 2025, 07:39",Tate McRae,So Close to What
The Edge of Glory,1,"13 Mar 2025, 07:33",Lady Gaga,Born This Way (International Special Edition Version)
lie to me,1,"13 Mar 2025, 07:30",Ali Gatie,The Idea Of Her
the 1,1,"13 Mar 2025, 07:27",Taylor Swift,folklore
Poker Face,1,"13 Mar 2025, 07:23",Lady Gaga,The Fame
LoveDrug,1,"13 Mar 2025, 07:20",Lady Gaga,MAYHEM
My Heart,1,"13 Mar 2025, 07:16",Paramore,All We Know Is Falling
Blade of Grass,1,"13 Mar 2025, 07:12",Lady Gaga,MAYHEM
Hot in It (feat. Charli XCX),1,"13 Mar 2025, 07:09",Tiësto,DRIVE
2 hands,1,"13 Mar 2025, 07:06",Tate McRae,So Close to What
MANiCURE,1,"13 Mar 2025, 07:03",Lady Gaga,ARTPOP
Still Sane,1,"13 Mar 2025, 07:00",Lorde,Pure Heroine
Garden of Eden,1,"13 Mar 2025, 06:56",Lady Gaga,MAYHEM
Perfect Celebrity,1,"13 Mar 2025, 06:52",Lady Gaga,MAYHEM
"Alibi Pt. 2 (with Anitta, Pabllo Vittar & Yseult)",1,"13 Mar 2025, 06:49",Sevdaliza,"Alibi Pt. 2 (with Anitta, Pabllo Vittar & Yseult)"
I'll Never Love Again (Extended Version),1,"13 Mar 2025, 06:44",Lady Gaga,A Star Is Born Soundtrack
Sober,1,"13 Mar 2025, 06:40",Lorde,Melodrama
Diva,1,"13 Mar 2025, 06:37",Beyoncé,I AM...SASHA FIERCE
Red (Taylor's Version),1,"13 Mar 2025, 06:33",Taylor Swift,Red (Taylor's Version)
Like I do,1,"13 Mar 2025, 06:30",Tate McRae,So Close to What
Always Remember Us This Way,1,"13 Mar 2025, 06:27",Lady Gaga,A Star Is Born Soundtrack
CATFISH,1,"13 Mar 2025, 06:24",Doechii,Alligator Bites Never Heal
Writer in the Dark,1,"13 Mar 2025, 06:21",Lorde,Melodrama
Catch Me If You Can,1,"13 Mar 2025, 06:18",Alan Walker,Walkerverse Pt. II
it could’ve been u,1,"13 Mar 2025, 06:16",Addison Rae,AR
Nothing On (But The Radio),1,"13 Mar 2025, 06:14",Addison Rae,AR
2 Die 4 (feat. Charli XCX),1,"13 Mar 2025, 06:12",Addison Rae,AR
I got it bad,1,"13 Mar 2025, 06:09",Addison Rae,AR
Diet Pepsi,1,"13 Mar 2025, 06:06",Addison Rae,Diet Pepsi
Aquamarine,1,"13 Mar 2025, 06:03",Addison Rae,Aquamarine
If the Earth is Spinning (feat. Sia),1,"13 Mar 2025, 06:00",Paris Hilton,Infinite Icon
"Girl, so confusing featuring lorde",1,"13 Mar 2025, 05:56",Charli xcx,Brat and it’s completely different but also still brat
want that too,1,"13 Mar 2025, 05:53",Tate McRae,THINK LATER
Brick by Boring Brick,1,"13 Mar 2025, 05:49",Paramore,brand new eyes
Sober II (Melodrama),1,"13 Mar 2025, 05:46",Lorde,Melodrama
DENIAL IS A RIVER,1,"13 Mar 2025, 05:43",Doechii,Alligator Bites Never Heal
All I Wanted,1,"13 Mar 2025, 05:40",Paramore,brand new eyes
Judas,1,"13 Mar 2025, 05:36",Lady Gaga,Born This Way (International Standard Version)
Killah,1,"13 Mar 2025, 05:32",Lady Gaga,MAYHEM
chaotic,1,"13 Mar 2025, 05:29",Tate McRae,i used to think i could fly
SLIDE,1,"13 Mar 2025, 05:26",Doechii,Alligator Bites Never Heal
plastic palm trees,1,"13 Mar 2025, 05:23",Tate McRae,THINK LATER
Just Dance,1,"13 Mar 2025, 05:19",Lady Gaga,The Fame
Dance in the Dark,1,"13 Mar 2025, 05:14",Lady Gaga,The Fame Monster (Deluxe Edition)
Alone,1,"13 Mar 2025, 05:12",Alan Walker,Different World
HAS A HEART,1,"13 Mar 2025, 05:09",Katy Perry,1432
LoveDrug,1,"13 Mar 2025, 05:06",Lady Gaga,MAYHEM
Poker Face,1,"13 Mar 2025, 05:02",Lady Gaga,The Fame
Abracadabra,1,"13 Mar 2025, 04:58",Lady Gaga,MAYHEM
Shadow of a Man,1,"13 Mar 2025, 04:55",Lady Gaga,MAYHEM
Revolving door,1,"13 Mar 2025, 04:52",Tate McRae,So Close to What
Beautiful People,1,"13 Mar 2025, 04:49",David Guetta,Beautiful People
My Ex's Best Friend (feat. Blackbear),1,"13 Mar 2025, 04:46",mgk,Tickets To My Downfall (SOLD OUT Deluxe)
Monsters (feat. Demi Lovato and blackbear),1,"13 Mar 2025, 04:43",All Time Low,Monsters (feat. Demi Lovato and blackbear)
rubberband,1,"13 Mar 2025, 04:41",Tate McRae,TOO YOUNG TO BE SAD
Vanish Into You,1,"13 Mar 2025, 04:37",Lady Gaga,MAYHEM
10:35,1,"13 Mar 2025, 04:34",Tiësto,DRIVE
Dear god,1,"13 Mar 2025, 04:31",Tate McRae,So Close to What
Like I do,1,"13 Mar 2025, 04:28",Tate McRae,So Close to What
cut my hair,1,"13 Mar 2025, 04:25",Tate McRae,THINK LATER
run for the hills,1,"13 Mar 2025, 04:23",Tate McRae,THINK LATER
Purple lace bra,1,"13 Mar 2025, 04:20",Tate McRae,So Close to What
hurt my feelings,1,"13 Mar 2025, 04:18",Tate McRae,THINK LATER
Beautiful People,1,"13 Mar 2025, 04:14",David Guetta,Beautiful People
My Ex's Best Friend (feat. Blackbear),1,"13 Mar 2025, 04:12",mgk,Tickets To My Downfall (SOLD OUT Deluxe)
Vanish Into You,1,"13 Mar 2025, 04:08",Lady Gaga,MAYHEM
Revolving door,1,"13 Mar 2025, 04:05",Tate McRae,So Close to What
LoveDrug,1,"13 Mar 2025, 04:02",Lady Gaga,MAYHEM
Abracadabra,1,"13 Mar 2025, 03:58",Lady Gaga,MAYHEM
Beautiful People,1,"13 Mar 2025, 03:55",David Guetta,Beautiful People
Vanish Into You,1,"13 Mar 2025, 03:51",Lady Gaga,MAYHEM
crushcrushcrush,1,"13 Mar 2025, 03:48",Paramore,RIOT!
I know love (feat. The Kid LAROI),1,"13 Mar 2025, 03:45",Tate McRae,So Close to What
Style (Taylor's Version),1,"13 Mar 2025, 03:41",Taylor Swift,1989 (Taylor's Version)
Bloody Mary,1,"13 Mar 2025, 03:37",Lady Gaga,Born This Way (International Special Edition Version)
deja vu,1,"13 Mar 2025, 03:34",Olivia Rodrigo,SOUR
Turn It Off,1,"13 Mar 2025, 03:02",Paramore,brand new eyes
How Bad Do U Want Me (feat. Taylor Swift),1,"13 Mar 2025, 02:58",Lady Gaga,MAYHEM
Nuclear Seasons,1,"13 Mar 2025, 02:53",Charli xcx,True Romance
Applause,1,"13 Mar 2025, 02:50",Lady Gaga,ARTPOP
Forever Young,1,"13 Mar 2025, 02:09",Alan Walker,Forever Young
911,1,"13 Mar 2025, 02:06",Lady Gaga,Chromatica
Halo,1,"13 Mar 2025, 02:01",Beyoncé,I AM...SASHA FIERCE
Sports car,1,"13 Mar 2025, 01:59",Tate McRae,So Close to What
Disease,1,"13 Mar 2025, 01:55",Lady Gaga,MAYHEM
Zombieboy,1,"13 Mar 2025, 01:51",Lady Gaga,MAYHEM
Emergency,1,"13 Mar 2025, 01:47",Paramore,All We Know Is Falling
Venus,1,"13 Mar 2025, 01:43",Lady Gaga,ARTPOP
Bad Romance,1,"13 Mar 2025, 01:38",Lady Gaga,The Fame Monster (International Deluxe)
